geneID	gnomAD_pLI	ExAc_pLI	LOEUF	ClinGene_HI	ClinGene_TI	DDD_HI	HI_bin	TI_bin
RBBP6	1.0	1.0	0.0			21.65%	1	1
GTPBP4	1.0	0.99987	0.0			36.18%	1	1
MYBL1	1.0	0.99833	0.0			14.53%	0	1
TEX11	1.0	0.99996	0.0			77.12%	1	1
DYNC1H1	1.0	1.0	0.0			28.69%	1	1
SBNO1	1.0	1.0	0.0			21.06%	1	1
THOC2	1.0	1.0	0.0			4.98%	0	1
PRKCB	1.0	0.99991	0.0			7.8%	0	1
INO80	1.0	1.0	0.0			14.81%	0	1
TAF4	1.0	0.99949	0.0			53.52%	1	1
FLNA	1.0	1.0	0.0	3.0	0	8.01%	0	1
TRIM28	1.0	0.9999	0.0			27.81%	1	1
CHD8	1.0	1.0	0.0	3.0	0	11.24%	0	1
RBM33	1.0	0.99997	0.0			42.71%	1	1
SNRNP200	1.0	1.0	0.0			19.63%	0	1
XPO6	1.0	1.0	0.0			14.55%	0	1
SMARCAD1	1.0	1.0	0.0			12.39%	0	1
FRMPD4	1.0	0.99719	0.0			25.72%	1	1
MACF1	1.0	1.0	0.0			4.28%	0	1
WAC	1.0	0.99989	0.0	3.0	0	9.64%	0	1
BRWD3	1.0	1.0	0.0	2.0	0	28.63%	0	1
C17orf104	1.0	0.97854	0.0			20.73%	1	1
ATP2B1	1.0	1.0	0.0			6.13%	0	1
EIF4G2	1.0	0.0	0.0			3.03%	0	1
ZNF462	1.0	1.0	0.0	3.0	0	5.96%	0	1
WDR26	1.0	0.99968	0.0	3.0	0	10.72%	0	1
CUL4B	1.0	0.99985	0.0	3.0	0	8.31%	0	1
TRIM33	1.0	1.0	0.0			10.16%	0	1
STXBP1	1.0	0.99988	0.0	3.0	0	21.32%	0	1
TOPBP1	1.0	1.0	0.0			18.12%	0	1
NF2	1.0	0.99992	0.0	3.0	0	2.2%	0	1
TET3	1.0	0.99994	0.0			42.5%	1	1
MN1	0.99999	0.0	0.0			39.09%	1	1
SUPT6H	1.0	1.0	0.0			9.44%	0	1
RP11-762I7.5	1.0	0.0	0.0				1	1
NHS	0.99999	0.99946	0.0	3.0	0	3.57%	0	1
RPS6KA3	0.99999	0.99991	0.0	3.0	0	4.88%	0	1
MYT1L	1.0	0.99996	0.0	3.0	0	21.8%	0	1
UBP1	0.99999	0.9998	0.0			26.92%	1	1
PLCL2	0.99999	0.99912	0.0			38.08%	1	1
SPTBN1	1.0	1.0	0.0			2.63%	0	1
MYH9	1.0	1.0	0.0			9.42%	0	1
ZDHHC5	0.99999	0.99992	0.0			23.4%	1	1
LUC7L3	0.99999	0.99997	0.0			4.93%	0	1
COPB2	1.0	1.0	0.0			16.66%	0	1
DNAJC14	0.99999	0.99971	0.0			41.33%	1	1
RNF17	1.0	1.0	0.0			58.35%	1	1
ANK3	1.0	1.0	0.0			3%	0	1
F8	1.0	1.0	0.0	3.0	0	30.72%	0	1
TM9SF3	0.99999	0.99965	0.0			9.15%	0	1
DLG3	0.99999	0.99954	0.0	2.0	0	14.46%	0	1
MGA	1.0	1.0	0.0			26.52%	1	1
ANKRD52	1.0	0.99999	0.0			32.09%	1	1
STAG2	1.0	1.0	0.0			9.67%	0	1
SATB2	0.99999	0.99956	0.0	3.0	0	1.6%	0	1
USP34	1.0	1.0	0.0			12.35%	0	1
MAP3K2	0.99999	0.99956	0.0			15.28%	0	1
PREX1	1.0	1.0	0.0			51.42%	1	1
MED14	1.0	1.0	0.0			12.09%	0	1
CYFIP2	1.0	1.0	0.0			15.41%	0	1
ZNF407	1.0	1.0	0.0	0.0	0	53.21%	1	1
KPNB1	1.0	0.99999	0.0			3.04%	0	1
ETV5	0.99999	0.99989	0.0			3.53%	0	1
CUL2	1.0	1.0	0.0			4.44%	0	1
HNRNPM	0.99999	0.99995	0.0			11.86%	0	1
PIAS1	0.99999	0.99702	0.0			2.51%	0	1
DAAM2	1.0	0.99829	0.0			29.17%	1	1
EFTUD2	1.0	0.99999	0.0	3.0	0	24.19%	0	1
YTHDC1	1.0	1.0	0.0	1.0	0	10.1%	0	1
NCBP1	1.0	0.99996	0.0			16.81%	0	1
TCF20	1.0	0.99998	0.0	3.0	0	23.45%	0	1
DLL1	0.99999	0.99905	0.0	3.0	0	4.66%	0	1
UBR4	1.0	1.0	0.0			22.73%	1	1
STAT3	1.0	0.99999	0.0			0.31%	0	1
IGF2BP3	0.99999	0.99973	0.0			7.18%	0	1
NSD1	1.0	1.0	0.0	3.0	0	29.19%	0	1
SRCAP	1.0	1.0	0.0	1.0	0	34.43%	0	1
ZNF777	0.99998	0.99761	0.0			52.36%	1	1
HNRNPK	0.99998	0.99978	0.0	3.0	0	2.97%	0	1
SCAF8	1.0	1.0	0.0			25.57%	1	1
ARID2	1.0	1.0	0.0	3.0	0	11.02%	0	1
CCT3	0.99998	0.99875	0.0			6.14%	0	1
COL5A2	1.0	1.0	0.0			12.81%	0	1
PHC3	1.0	0.99996	0.0			27.89%	1	1
GATAD2B	0.99998	0.99859	0.0	3.0	0	10.42%	0	1
FBXO11	1.0	0.99998	0.0			4.34%	0	1
NOTCH1	1.0	1.0	0.0			0.16%	0	1
COL3A1	1.0	1.0	0.0	3.0	0	14.75%	0	1
PPP3CB	0.99998	0.9997	0.0			4.49%	0	1
ILF3	1.0	1.0	0.0			21.21%	1	1
PLEKHA5	1.0	1.0	0.0			49.46%	1	1
ZNF521	1.0	0.99998	0.0			1.11%	0	1
TAB2	0.99998	0.99976	0.0	1.0	0	5.38%	0	1
CTNND2	1.0	1.0	0.0	1.0	0	5.83%	0	1
DDX5	0.99998	0.99745	0.0			2.55%	0	1
ACTN4	1.0	0.99999	0.0			21.58%	1	1
UPF2	1.0	1.0	0.0	0.0	0	12.07%	0	1
CARM1	0.99998	0.99936	0.0			14.83%	0	1
PAXIP1	1.0	0.99993	0.0			48.56%	1	1
BPTF	1.0	1.0	0.0			36.79%	1	1
EP300	1.0	1.0	0.0	3.0	0	0.67%	0	1
FBXL19	0.99997	0.98252	0.0			27.3%	1	1
CREBRF	0.99997	0.99841	0.0			17.64%	0	1
HDAC2	0.99997	0.99939	0.0			0.56%	0	1
SP1	0.99997	0.99764	0.0			0.82%	0	1
MAPK8IP2	0.99997	0.99752	0.0			60.2%	1	1
AP2A1	1.0	0.99985	0.0			34.79%	1	1
ARCN1	0.99997	0.99985	0.0	3.0	0	9.21%	0	1
SPTAN1	1.0	1.0	0.0			8.65%	0	1
RPTOR	1.0	1.0	0.0			35.69%	1	1
CAND1	1.0	0.99993	0.0			18.18%	0	1
COPS2	0.99997	0.99957	0.0			2.8%	0	1
SALL4	0.99997	0.99944	0.0	3.0	0	38.01%	0	1
CACNA1C	1.0	1.0	0.0	1.0	0	8.42%	0	1
ARID1B	1.0	0.99995	0.0	3.0	0	14.17%	0	1
PSMD2	1.0	1.0	0.0			6.89%	0	1
PSMD3	0.99997	0.99929	0.0			14.38%	0	1
KMT2D	1.0	1.0	0.0	3.0	0	17.49%	0	1
UBAP2L	1.0	1.0	0.0			10.84%	0	1
ZNF148	0.99997	0.93227	0.0			10.08%	0	1
BTK	0.99996	0.99956	0.0	3.0	0	4.3%	0	1
RRM1	1.0	0.99999	0.0			2.5%	0	1
PPP2R5E	0.99997	0.99943	0.0			3.76%	0	1
RFX3	1.0	0.99977	0.0			7.5%	0	1
BIRC6	1.0	1.0	0.0			13.58%	0	1
LMNB2	0.99996	0.9956	0.0			53.02%	1	1
CLTC	1.0	1.0	0.0			4.77%	0	1
COPA	1.0	1.0	0.0			15.7%	0	1
COL1A1	1.0	1.0	0.0	3.0	0	7.09%	0	1
DHX15	1.0	1.0	0.0			3.44%	0	1
DHX9	1.0	1.0	0.0			10.4%	0	1
MAP2	1.0	0.99998	0.0			3.8%	0	1
ZMYM3	1.0	0.99997	0.0	0.0	0	26.32%	1	1
AGO2	1.0	0.99999	0.0			7.47%	0	1
ANK2	1.0	1.0	0.0	3.0	0	24.11%	0	1
RALGAPB	1.0	1.0	0.0	1.0	0	12.23%	0	1
IPO7	1.0	1.0	0.0			8.54%	0	1
PRPF19	0.99995	0.99857	0.0			8.99%	0	1
SCAF4	1.0	1.0	0.0			36.33%	1	1
TBL1XR1	0.99995	0.99882	0.0	3.0	1	6.88%	0	0
ZCCHC11	1.0	1.0	0.0			18.21%	0	1
ZCCHC6	1.0	1.0	0.0			51.74%	1	1
ANKRD11	1.0	1.0	0.0	3.0	0	75.55%	0	1
PAFAH1B1	0.99995	0.99963	0.0	3.0	0	2.21%	0	1
ZEB2	1.0	0.99983	0.0	3.0	0	0.37%	0	1
AP2A2	1.0	0.99993	0.0			72.44%	1	1
SMU1	0.99994	0.99898	0.0			12.83%	0	1
NAA25	1.0	0.99999	0.0			13.37%	0	1
UBA1	1.0	0.99999	0.0			21.58%	1	1
BAZ1B	1.0	1.0	0.0			23.74%	1	1
HNRNPH1	0.99993	0.99915	0.0			7.22%	0	1
VPRBP	1.0	0.0	0.0			13.96%	0	1
CTIF	0.99994	0.98275	0.0			32.11%	1	1
ABCB7	0.99994	0.99505	0.0			24.77%	1	1
UTP15	0.99993	0.98584	0.0			24.92%	1	1
SETBP1	1.0	0.999	0.0	3.0	0	4.67%	0	1
ARID5B	1.0	0.99989	0.0			3.3%	0	1
RBM10	1.0	0.99991	0.0			31.4%	1	1
TPR	1.0	1.0	0.0			10.3%	0	1
RCOR1	0.99992	0.99404	0.0			26.21%	1	1
SUFU	0.99992	0.99916	0.0			5.1%	0	1
TRPS1	1.0	0.99011	0.0	3.0	0	1.26%	0	1
MTA1	1.0	0.99975	0.0			26.44%	1	1
RUVBL2	0.99992	0.99911	0.0			8.29%	0	1
EIF4G3	1.0	1.0	0.0			20.95%	1	1
MDM4	0.99992	0.99857	0.0			13.97%	0	1
NTRK2	1.0	0.99989	0.0			2.93%	0	1
ANKHD1	1.0	1.0	0.0			13.07%	0	1
ANKHD1-EIF4EBP3	1.0	1.0	0.0			6.18%	0	1
RORB	0.99991	0.99855	0.0			2.68%	0	1
TIAL1	0.99992	0.99879	0.0			6.14%	0	1
NRXN3	1.0	0.99986	0.0			0.35%	0	1
PTPRD	1.0	1.0	0.0			0.14%	0	1
WAPAL	1.0	1.0	0.0			4.01%	0	1
RBM26	1.0	1.0	0.0			12.12%	0	1
RIF1	1.0	1.0	0.0			53.18%	1	1
NLK	0.99991	0.99893	0.0			5.09%	0	1
PHIP	1.0	1.0	0.0	3.0	0	12.52%	0	1
LPHN2	1.0	1.0	0.0				1	1
DPYSL5	0.99991	0.99833	0.0			32.42%	1	1
USP8	1.0	0.99998	0.0			26.09%	1	1
TIPARP	0.99991	0.99775	0.0			22.17%	1	1
ZBTB4	0.99991	0.99849	0.0			49.14%	1	1
ISY1	0.9999	0.99829	0.0			23.74%	1	1
HNRNPU	1.0	0.9999	0.0			7.66%	0	1
TLK2	1.0	1.0	0.0			12.26%	0	1
TRERF1	1.0	0.9996	0.0			14.35%	0	1
DHX30	1.0	1.0	0.0			30.49%	1	1
MYCBP2	1.0	1.0	0.0			9.45%	0	1
FUBP1	1.0	0.99997	0.0			7.23%	0	1
TRIM24	1.0	1.0	0.0			14.62%	0	1
ZC3H7A	1.0	0.99999	0.0			40.68%	1	1
UBXN7	0.99988	0.99066	0.0			16.72%	0	1
SLC17A7	0.99988	0.99593	0.0			25.8%	1	1
NOTCH2	1.0	1.0	0.0	0.0	0	3.21%	0	1
SMARCC1	1.0	1.0	0.0			14.93%	0	1
RAI1	1.0	0.99914	0.0	3.0	0	47.54%	0	1
CSE1L	1.0	0.99998	0.0			5.45%	0	1
EIF4A1	0.99987	0.99961	0.0			18.71%	0	1
PIK3CA	1.0	1.0	0.0	0.0	0	0.26%	0	1
KIF5C	1.0	0.99952	0.0			17.53%	0	1
REV3L	1.0	1.0	0.0			0.03%	0	1
AGPS	1.0	0.99881	0.0			5.44%	0	1
ADAM10	1.0	0.99984	0.0			5.8%	0	1
MED1	1.0	0.99999	0.0			4.03%	0	1
SMARCC2	1.0	1.0	0.0			20.29%	1	1
MYRF	1.0	0.99985	0.0			40.26%	1	1
DOT1L	1.0	0.99999	0.0			68.83%	1	1
CHAF1A	1.0	0.99623	0.0			64.6%	1	1
PSMD1	1.0	1.0	0.0			6.05%	0	1
SRRM2	1.0	0.0	0.0			19.08%	0	1
PIAS4	0.99986	0.99435	0.0			36.28%	1	1
ACTR3	0.99986	0.99834	0.0			16.88%	0	1
DDX3X	0.99986	0.99893	0.0	3.0	0	12.73%	0	1
TSC1	1.0	0.99998	0.0	3.0	0	11.9%	0	1
SON	1.0	1.0	0.0	3.0	0	3.75%	0	1
WHSC1	1.0	1.0	0.0			37.85%	1	1
TCEB3	1.0	0.99999	0.0			49.82%	1	1
STAG1	1.0	1.0	0.0			8.33%	0	1
ATRX	1.0	1.0	0.0	3.0	0	6.65%	0	1
VCPIP1	1.0	0.99934	0.0			10.8%	0	1
EIF4A3	0.99985	0.99899	0.0	30.0	0	31.52%	2	1
MAU2	1.0	0.99972	0.0			33.29%	1	1
PSMC2	0.99985	0.99921	0.0			10.51%	0	1
DAZAP1	0.99985	0.99957	0.0			50.04%	1	1
POGZ	1.0	1.0	0.0	3.0	0	29.96%	0	1
PRKAR1A	0.99985	0.99922	0.0			6.49%	0	1
SF3A3	1.0	0.9999	0.0			7.89%	0	1
FXR1	1.0	0.99999	0.0			3.43%	0	1
CDC42BPB	1.0	1.0	0.0	1.0	0	65.08%	0	1
XPO7	1.0	1.0	0.0			14.34%	0	1
RARB	0.99983	0.99932	0.0			1.32%	0	1
RERE	1.0	1.0	0.0			1.92%	0	1
ZMYND11	1.0	0.99996	0.0	3.0	0	16.99%	0	1
RPL4	0.99984	0.99928	0.0			39.2%	1	1
SUPT16H	1.0	1.0	0.0	0.0	0	22.56%	1	1
ZBTB47	0.99983	0.97475	0.0			50.2%	1	1
PRRC2C	1.0	1.0	0.0			38.23%	1	1
PPFIA3	1.0	1.0	0.0			36.6%	1	1
ATP1A1	1.0	0.99999	0.0			33.72%	1	1
KIF11	1.0	1.0	0.0	3.0	0	9.02%	0	1
NCOA2	1.0	1.0	0.0			1.93%	0	1
HIPK1	1.0	0.99994	0.0			14.72%	0	1
KIAA0430	1.0	1.0	0.0			36.94%	1	1
ARMCX4	1.0	0.0	0.0			84.57%	2	1
KMT2C	1.0	1.0	0.0	3.0	0	53.58%	0	1
PIK3AP1	1.0	0.99966	0.0			44.76%	1	1
SEMA4C	1.0	0.99937	0.0			42.72%	1	1
CYTH1	0.99981	0.99454	0.0			38.79%	1	1
RBM17	0.99981	0.9986	0.0			25.46%	1	1
RTF1	1.0	0.99364	0.0			19.88%	0	1
IPO5	1.0	1.0	0.0			15.88%	0	1
NUP98	1.0	1.0	0.0			12.43%	0	1
TRAF2	0.99979	0.99648	0.0			49.93%	1	1
EIF4B	0.99999	0.99999	0.0			30.89%	1	1
ADNP	1.0	0.9989	0.0	3.0	0	9.79%	0	1
RET	1.0	0.99989	0.0	3.0	0	1.58%	0	1
TEAD1	0.9998	0.0	0.0			3.27%	0	1
CCDC22	0.99979	0.9952	0.0			45.6%	1	1
SHANK3	1.0	0.99984	0.0	3.0	0	60.1%	0	1
CACNA1E	1.0	1.0	0.0			13.63%	0	1
PRMT5	0.99999	0.99481	0.0			4.36%	0	1
JADE3	0.99978	0.99548	0.0			40.15%	1	1
WDR5	0.99978	0.9987	0.0			38.43%	1	1
CUL4A	0.99999	0.99941	0.0			34.36%	1	1
PCLO	1.0	1.0	0.0			48.79%	1	1
ZNF219	0.99977	0.98872	0.0			36.07%	1	1
GAPVD1	1.0	1.0	0.0			16.34%	0	1
EPC1	1.0	0.99999	0.0			12.71%	0	1
KCNB1	0.99977	0.98259	0.0			21.33%	1	1
NLGN2	0.99974	0.99262	0.0			35.41%	1	1
PCDH19	0.99975	0.97716	0.0	3.0	0	6.65%	0	1
DDX17	0.99999	0.0	0.0			11.09%	0	1
RB1	1.0	1.0	0.0	3.0	0	0.53%	0	1
WNK1	1.0	1.0	0.0			26.23%	1	1
ZC3H18	1.0	0.99952	0.0			59.16%	1	1
CDK12	1.0	0.99999	0.0			16.18%	0	1
HECTD4	1.0	1.0	0.0			23.9%	1	1
RALGPS1	0.99999	0.99986	0.0			18.81%	0	1
TNRC6C	1.0	1.0	0.0			36.21%	1	1
SCN2A	1.0	1.0	0.0	3.0	0	4.08%	0	1
SOBP	0.99972	0.0	0.0	30.0	0	8.51%	0	1
VCP	0.99999	0.99999	0.0			3.59%	0	1
TLN1	1.0	1.0	0.0			11.8%	0	1
BTAF1	1.0	1.0	0.0			5%	0	1
EPHA7	1.0	0.98776	0.0			2.77%	0	1
COL4A1	1.0	1.0	0.0			33.94%	1	1
SIK3	1.0	0.99988	0.0			23.8%	1	1
KAT6B	1.0	1.0	0.0	3.0	0	7.97%	0	1
KAT7	0.99999	0.99996	0.0			16.7%	0	1
ZFR	1.0	1.0	0.0			9.24%	0	1
GSE1	1.0	0.0	0.0			53.54%	1	1
GSK3A	0.9997	0.99744	0.0			20.18%	1	1
L1CAM	1.0	0.99998	0.0	3.0	0	15.59%	0	1
CTNNB1	0.99999	0.99981	0.0	3.0	0	0.18%	0	1
PBRM1	1.0	1.0	0.0			9.54%	0	1
PRICKLE1	0.99999	0.99197	0.0			46.06%	1	1
PUM1	1.0	1.0	0.0			6.6%	0	1
AHCTF1	1.0	1.0	0.0			52.56%	1	1
TNPO2	1.0	0.99989	0.0			28.97%	1	1
AAK1	1.0	0.99932	0.0			27.81%	1	1
RASA1	1.0	1.0	0.0	3.0	0	2.57%	0	1
CDC5L	1.0	0.99999	0.0			3.44%	0	1
FERMT2	0.99999	0.99983	0.0			12.9%	0	1
WTAP	0.99966	0.99558	0.0			6.77%	0	1
UBR3	1.0	0.99955	0.0			16.76%	0	1
SCN8A	1.0	1.0	0.0	0.0	0	5.53%	0	1
FNIP2	1.0	0.99778	0.0			64%	1	1
MSN	0.99967	0.99356	0.0			3.49%	0	1
PPP1R12A	1.0	0.99918	0.0			2.14%	0	1
RANBP9	0.99999	0.99996	0.0			15.22%	0	1
USP47	1.0	1.0	0.0			12.46%	0	1
CCDC88A	1.0	1.0	0.0			19.33%	0	1
MLLT3	0.99964	0.99559	0.0			2.91%	0	1
EIF3A	1.0	1.0	0.0			15.43%	0	1
YTHDC2	1.0	1.0	0.0			18.36%	0	1
KSR2	1.0	0.99995	0.0			22.26%	1	1
ZMYND8	1.0	1.0	0.0			32.52%	1	1
CCNA2	0.99962	0.99468	0.0			7.99%	0	1
PTPN6	0.99999	0.99991	0.0			12.62%	0	1
SCML2	0.99961	0.99843	0.0			79.9%	1	1
SNRK	0.99961	0.99414	0.0			51.77%	1	1
MINK1	1.0	0.99998	0.0			26.63%	1	1
IRF6	0.99961	0.97512	0.0	3.0	0	2.03%	0	1
ZRSR2	0.99963	0.99838	0.0			74.54%	1	1
RFX7	1.0	0.99968	0.0			28.87%	1	1
CSTF2	0.99959	0.3058	0.0			25.31%	1	1
NR4A2	0.99959	0.99143	0.0			1.28%	0	1
TULP4	1.0	0.99994	0.0			37.53%	1	1
MAP1B	1.0	0.99999	0.0			9.38%	0	1
USP42	1.0	0.99868	0.0			78.6%	1	1
ZNF592	0.99998	0.94942	0.0	0.0	0	48.68%	1	1
NPAS2	1.0	0.99089	0.0			38.13%	1	1
ZSWIM8	1.0	1.0	0.0			16.61%	0	1
IQSEC2	0.99998	0.97539	0.0	3.0	0	26.16%	0	1
U2AF2	0.9996	0.99719	0.0			40.03%	1	1
ITPR1	1.0	1.0	0.0			9.28%	0	1
COL2A1	1.0	1.0	0.0	3.0	0	2.04%	0	1
NPLOC4	0.99998	0.9987	0.0			46.21%	1	1
MAPKAPK2	0.99957	0.99619	0.0			22.89%	1	1
DDX42	1.0	1.0	0.0			19.55%	0	1
CACNA1A	1.0	1.0	0.0	3.0	0	35.52%	0	1
SUZ12	0.99998	0.99927	0.0	0.0	0	3.13%	0	1
PHF12	1.0	0.99996	0.0			6.42%	0	1
DACH1	0.99954	0.99594	0.0			0.75%	0	1
PORCN	0.99953	0.9952	0.0	3.0	0	12.63%	0	1
CTR9	1.0	1.0	0.0			6.91%	0	1
RBM5	1.0	1.0	0.0			20.16%	1	1
NRBP1	0.99998	0.99955	0.0			9.8%	0	1
TBX5	0.99954	0.99188	0.0	3.0	0	1.67%	0	1
FRMD4A	1.0	0.99999	0.0			21.52%	1	1
PTPN11	0.99998	0.99988	0.0	3.0	0	1.58%	0	1
DLGAP3	0.99998	0.99964	0.0			23.91%	1	1
HIRA	1.0	1.0	0.0	0.0	0	19.48%	0	1
SETD1A	1.0	1.0	0.0	3.0	0	12.55%	0	1
NAA35	1.0	1.0	0.0			13.55%	0	1
ELMSAN1	1.0	0.99977	0.0			46.42%	1	1
CACTIN	0.99998	0.99935	0.0			62.45%	1	1
ARHGEF6	0.99998	0.99821	0.0	0.0	0	14.42%	0	1
FAM120C	0.99998	0.97304	0.0			39.59%	1	1
RBM6	1.0	1.0	0.0			22.35%	1	1
KIF1A	1.0	0.99999	0.0	0.0	0	50.62%	1	1
MECOM	1.0	0.99909	0.0			0.11%	0	1
MBD5	1.0	0.99985	0.0	3.0	1	8.24%	0	0
MEIS1	0.99951	0.99089	0.0			0.58%	0	1
INTS6	1.0	1.0	0.0			15.97%	0	1
ZFHX3	1.0	1.0	0.0			2.56%	0	1
JPH4	0.99948	0.98735	0.0			41.65%	1	1
SMARCA1	1.0	0.99995	0.0			13.26%	0	1
HEATR1	1.0	1.0	0.0			47.61%	1	1
BAI3	1.0	1.0	0.0				1	1
SLC12A5	1.0	0.99999	0.0			27.97%	1	1
TAF3	0.99997	0.99513	0.0			28.85%	1	1
SHOC2	0.99946	0.99171	0.0	0.0	0	5.7%	0	1
PSMC1	0.99945	0.99573	0.0			23.48%	1	1
RBM22	0.99947	0.99595	0.0			16.53%	0	1
